quantified_toxicity,Lipid_name
95,1A1-P4
95,1A1-P5
95,1A1-P6
85,1A1-P7
95,1A1-P8
95,1A1-P9
85,1A1-P10
85,1A1-P11
95,1A1-P12
95,1A1-P13
85,1A1-P14
95,1A1-P15
95,1A1-P16
95,2A1-P4
95,2A1-P5
95,2A1-P6
85,2A1-P7
95,2A1-P8
95,2A1-P9
85,2A1-P10
85,2A1-P11
95,2A1-P12
95,2A1-P13
95,2A1-P14
95,2A1-P15
95,2A1-P16
95,3A1-P4
95,3A1-P5
85,3A1-P6
95,3A1-P7
95,3A1-P8
95,3A1-P9
95,3A1-P10
85,3A1-P11
95,3A1-P12
95,3A1-P13
85,3A1-P14
95,3A1-P15
95,3A1-P16
95,4A1-P4
95,4A1-P5
95,4A1-P6
85,4A1-P7
95,4A1-P8
95,4A1-P9
85,4A1-P10
95,4A1-P11
95,4A1-P12
95,4A1-P13
85,4A1-P14
95,4A1-P15
95,4A1-P16
95,5A1-P4
95,5A1-P5
85,5A1-P6
95,5A1-P7
95,5A1-P8
95,5A1-P9
85,5A1-P10
95,5A1-P11
95,5A1-P12
95,5A1-P13
95,5A1-P14
95,5A1-P15
95,5A1-P16
95,6A1-P4
95,6A1-P5
85,6A1-P6
95,6A1-P7
95,6A1-P8
95,6A1-P9
85,6A1-P10
95,6A1-P11
95,6A1-P12
95,6A1-P13
95,6A1-P14
95,6A1-P15
95,6A1-P16
95,7A1-P4
95,7A1-P5
85,7A1-P6
95,7A1-P7
95,7A1-P8
95,7A1-P9
95,7A1-P10
95,7A1-P11
95,7A1-P12
95,7A1-P13
95,7A1-P14
95,7A1-P15
95,7A1-P16
95,8A1-P4
95,8A1-P5
95,8A1-P6
95,8A1-P7
95,8A1-P8
95,8A1-P9
95,8A1-P10
95,8A1-P11
95,8A1-P12
95,8A1-P13
95,8A1-P14
95,8A1-P15
95,8A1-P16
95,9A1-P4
95,9A1-P5
95,9A1-P6
95,9A1-P7
95,9A1-P8
95,9A1-P9
95,9A1-P10
95,9A1-P11
95,9A1-P12
95,9A1-P13
95,9A1-P14
95,9A1-P15
95,9A1-P16
95,10A1-P4
95,10A1-P5
95,10A1-P6
95,10A1-P7
95,10A1-P8
95,10A1-P9
95,10A1-P10
95,10A1-P11
95,10A1-P12
95,10A1-P13
95,10A1-P14
95,10A1-P15
95,10A1-P16
95,11A1-P4
95,11A1-P5
95,11A1-P6
95,11A1-P7
95,11A1-P8
95,11A1-P9
95,11A1-P10
95,11A1-P11
95,11A1-P12
95,11A1-P13
95,11A1-P14
95,11A1-P15
95,11A1-P16
95,12A1-P4
95,12A1-P5
95,12A1-P6
95,12A1-P7
95,12A1-P8
95,12A1-P9
95,12A1-P10
95,12A1-P11
95,12A1-P12
95,12A1-P13
95,12A1-P14
85,12A1-P15
95,12A1-P16
95,13A1-P4
95,13A1-P5
95,13A1-P6
95,13A1-P7
95,13A1-P8
95,13A1-P9
95,13A1-P10
95,13A1-P11
95,13A1-P12
95,13A1-P13
95,13A1-P14
95,13A1-P15
95,13A1-P16
95,14A1-P4
95,14A1-P5
95,14A1-P6
95,14A1-P7
95,14A1-P8
95,14A1-P9
95,14A1-P10
95,14A1-P11
95,14A1-P12
95,14A1-P13
95,14A1-P14
95,14A1-P15
95,14A1-P16
95,15A1-P4
95,15A1-P5
95,15A1-P6
95,15A1-P7
95,15A1-P8
95,15A1-P9
95,15A1-P10
95,15A1-P11
95,15A1-P12
95,15A1-P13
95,15A1-P14
95,15A1-P15
95,15A1-P16
95,16A1-P4
95,16A1-P5
95,16A1-P6
95,16A1-P7
95,16A1-P8
95,16A1-P9
95,16A1-P10
95,16A1-P11
95,16A1-P12
95,16A1-P13
95,16A1-P14
95,16A1-P15
95,16A1-P16
95,17A1-P4
95,17A1-P5
95,17A1-P6
95,17A1-P7
95,17A1-P8
95,17A1-P9
95,17A1-P10
95,17A1-P11
95,17A1-P12
95,17A1-P13
95,17A1-P14
95,17A1-P15
95,17A1-P16
95,18A1-P4
95,18A1-P5
95,18A1-P6
95,18A1-P7
95,18A1-P8
95,18A1-P9
95,18A1-P10
95,18A1-P11
95,18A1-P12
95,18A1-P13
95,18A1-P14
95,18A1-P15
95,18A1-P16
95,19A2-P4
95,19A2-P5
95,19A2-P6
95,19A2-P7
95,19A2-P8
95,19A2-P9
95,19A2-P10
85,19A2-P11
95,19A2-P12
95,19A2-P13
95,19A2-P14
95,19A2-P15
95,19A2-P16
95,20A2-P4
95,20A2-P5
95,20A2-P6
95,20A2-P7
95,20A2-P8
95,20A2-P9
95,20A2-P10
85,20A2-P11
95,20A2-P12
95,20A2-P13
95,20A2-P14
95,20A2-P15
95,20A2-P16
95,21A2-P4
95,21A2-P5
95,21A2-P6
95,21A2-P7
95,21A2-P8
95,21A2-P9
95,21A2-P10
85,21A2-P11
95,21A2-P12
95,21A2-P13
95,21A2-P14
95,21A2-P15
95,21A2-P16
95,22A2-P4
95,22A2-P5
95,22A2-P6
95,22A2-P7
95,22A2-P8
95,22A2-P9
95,22A2-P10
85,22A2-P11
95,22A2-P12
95,22A2-P13
95,22A2-P14
95,22A2-P15
95,22A2-P16
95,23A2-P4
95,23A2-P5
95,23A2-P6
95,23A2-P7
95,23A2-P8
95,23A2-P9
95,23A2-P10
85,23A2-P11
95,23A2-P12
95,23A2-P13
95,23A2-P14
95,23A2-P15
95,23A2-P16
95,24A2-P4
95,24A2-P5
95,24A2-P6
95,24A2-P7
95,24A2-P8
95,24A2-P9
95,24A2-P10
95,24A2-P11
95,24A2-P12
95,24A2-P13
95,24A2-P14
95,24A2-P15
95,24A2-P16
95,25A2-P4
95,25A2-P5
95,25A2-P6
95,25A2-P7
95,25A2-P8
95,25A2-P9
95,25A2-P10
95,25A2-P11
95,25A2-P12
95,25A2-P13
95,25A2-P14
95,25A2-P15
95,25A2-P16
95,26A2-P4
95,26A2-P5
95,26A2-P6
95,26A2-P7
95,26A2-P8
95,26A2-P9
95,26A2-P10
95,26A2-P11
95,26A2-P12
95,26A2-P13
95,26A2-P14
95,26A2-P15
95,26A2-P16
95,27A2-P4
95,27A2-P5
95,27A2-P6
95,27A2-P7
95,27A2-P8
95,27A2-P9
95,27A2-P10
95,27A2-P11
95,27A2-P12
95,27A2-P13
95,27A2-P14
95,27A2-P15
95,27A2-P16
95,28A2-P4
95,28A2-P5
95,28A2-P6
95,28A2-P7
95,28A2-P8
95,28A2-P9
95,28A2-P10
95,28A2-P11
95,28A2-P12
95,28A2-P13
95,28A2-P14
95,28A2-P15
95,28A2-P16
95,20A3-P4
95,20A3-P5
95,20A3-P6
95,20A3-P7
95,20A3-P8
95,20A3-P9
95,20A3-P10
95,20A3-P11
95,20A3-P12
95,20A3-P13
95,20A3-P14
95,20A3-P15
95,20A3-P16
95,21A3-P4
95,21A3-P5
95,21A3-P6
95,21A3-P7
95,21A3-P8
95,21A3-P9
95,21A3-P10
95,21A3-P11
95,21A3-P12
95,21A3-P13
95,21A3-P14
95,21A3-P15
95,21A3-P16
95,22A3-P4
95,22A3-P5
95,22A3-P6
95,22A3-P7
95,22A3-P8
95,22A3-P9
95,22A3-P10
95,22A3-P11
95,22A3-P12
95,22A3-P13
95,22A3-P14
95,22A3-P15
95,22A3-P16
95,23A3-P4
95,23A3-P5
95,23A3-P6
95,23A3-P7
95,23A3-P8
95,23A3-P9
95,23A3-P10
95,23A3-P11
95,23A3-P12
95,23A3-P13
95,23A3-P14
95,23A3-P15
95,23A3-P16
85,24A3-P4
95,24A3-P5
95,24A3-P6
95,24A3-P7
95,24A3-P8
95,24A3-P9
95,24A3-P10
95,24A3-P11
95,24A3-P12
95,24A3-P13
95,24A3-P14
95,24A3-P15
95,24A3-P16
95,25A3-P4
95,25A3-P5
85,25A3-P6
95,25A3-P7
95,25A3-P8
95,25A3-P9
95,25A3-P10
95,25A3-P11
95,25A3-P12
95,25A3-P13
95,25A3-P14
95,25A3-P15
95,25A3-P16
95,26A3-P4
95,26A3-P5
95,26A3-P6
95,26A3-P7
95,26A3-P8
95,26A3-P9
95,26A3-P10
95,26A3-P11
95,26A3-P12
95,26A3-P13
95,26A3-P14
95,26A3-P15
95,26A3-P16
95,27A3-P4
95,27A3-P5
95,27A3-P6
95,27A3-P7
95,27A3-P8
95,27A3-P9
95,27A3-P10
95,27A3-P11
95,27A3-P12
95,27A3-P13
95,27A3-P14
95,27A3-P15
95,27A3-P16
85,28A3-P4
95,28A3-P5
95,28A3-P6
95,28A3-P7
95,28A3-P8
95,28A3-P9
95,28A3-P10
95,28A3-P11
95,28A3-P12
95,28A3-P13
95,28A3-P14
95,28A3-P15
95,28A3-P16
95,23A4-P4
95,23A4-P5
95,23A4-P6
85,23A4-P7
95,23A4-P8
95,23A4-P9
95,23A4-P10
95,23A4-P11
95,23A4-P12
95,23A4-P13
95,23A4-P14
95,23A4-P15
95,23A4-P16
95,24A4-P4
95,24A4-P5
95,24A4-P6
95,24A4-P7
95,24A4-P8
95,24A4-P9
95,24A4-P10
95,24A4-P11
95,24A4-P12
95,24A4-P13
95,24A4-P14
95,24A4-P15
