quantified_toxicity,Lipid_name
95,24A4-P16
95,25A4-P4
95,25A4-P5
95,25A4-P6
95,25A4-P7
95,25A4-P8
95,25A4-P9
95,25A4-P10
95,25A4-P11
95,25A4-P12
95,25A4-P13
95,25A4-P14
95,25A4-P15
95,25A4-P16
95,26A4-P4
95,26A4-P5
95,26A4-P6
95,26A4-P7
95,26A4-P8
95,26A4-P9
95,26A4-P10
95,26A4-P11
95,26A4-P12
95,26A4-P13
95,26A4-P14
95,26A4-P15
95,26A4-P16
95,27A4-P4
95,27A4-P5
95,27A4-P6
95,27A4-P7
95,27A4-P8
95,27A4-P9
95,27A4-P10
95,27A4-P11
95,27A4-P12
95,27A4-P13
95,27A4-P14
95,27A4-P15
95,27A4-P16
95,28A4-P4
95,28A4-P5
95,28A4-P6
85,28A4-P7
95,28A4-P8
95,28A4-P9
95,28A4-P10
95,28A4-P11
95,28A4-P12
95,28A4-P13
95,28A4-P14
85,28A4-P15
95,28A4-P16
95,28A5-P4
95,28A5-P5
95,28A5-P6
95,28A5-P7
95,28A5-P8
95,28A5-P9
95,28A5-P10
95,28A5-P11
95,28A5-P12
95,28A5-P13
95,28A5-P14
95,28A5-P15
95,28A5-P16
